timestampMs,result
1,1533877212923,1
2,1533877217736,0
3,1533877230926,0
4,1533877238008,0
5,1533877242507,0
6,1533877254022,0
7,1533877256599,1
8,1533877264688,1
9,1533877276913,0
10,1533877282519,1
11,1533877292275,0
12,1533877292711,0
13,1533877301273,1
14,1533877306309,0
15,1533877309439,0
16,1533877313600,1
17,1533877316043,1
18,1533877321029,1
19,1533877330249,0
20,1533877333184,0
1,1533976939292,0
2,1533976942011,0
3,1533976953421,0
4,1533976956722,1
5,1533976959454,1
6,1533976963494,0
7,1533976974664,0
8,1533976976628,1
9,1533976984281,0
10,1533976987977,1
11,1533976992816,0
12,1533977000335,1
13,1533977014782,0
14,1533977021091,1
15,1533977026526,1
16,1533977040092,0
17,1533977045042,1
18,1533977047797,0
19,1533977050590,0
20,1533977053455,1
1,1534123152439,0
2,1534123157172,0
3,1534123163511,0
4,1534123168260,0
5,1534123172196,1
6,1534123185530,0
7,1534123187292,1
8,1534123199331,1
9,1534123205372,1
10,1534123207739,1
11,1534123212721,1
12,1534123222026,1
13,1534123229060,1
14,1534123234677,1
15,1534123237667,1
16,1534123243380,0
17,1534123246950,1
18,1534123256539,0
19,1534123265473,0
20,1534123269789,1
1,1534262672565,0
2,1534262679377,1
3,1534262683597,0
4,1534262691216,0
5,1534262694130,1
6,1534262705213,0
7,1534262717463,0
8,1534262728550,0
9,1534262733716,0
10,1534262748718,0
11,1534262757376,0
12,1534262764723,0
13,1534262769940,1
14,1534262782076,1
15,1534262789611,0
16,1534262793890,1
17,1534262802387,1
18,1534262804127,1
19,1534262810018,0
20,1534262813938,1
1,1534657349384,1
2,1534657355227,0
3,1534657369076,1
4,1534657374148,1
5,1534657377700,0
6,1534657386331,0
7,1534657392948,1
8,1534657395782,1
9,1534657398542,1
10,1534657410057,0
11,1534657413220,1
12,1534657418335,0
13,1534657424718,1
14,1534657429086,1
15,1534657431262,1
16,1534657436559,1
17,1534657439847,1
18,1534657445635,0
19,1534657451802,0
20,1534657458447,1
1,1534962146976,1
2,1534962152413,1
3,1534962155908,1
4,1534962159544,1
5,1534962163367,1
6,1534962167522,1
7,1534962174369,1
8,1534962179832,1
9,1534962185620,1
10,1534962190200,1
11,1534962198850,0
12,1534962205623,0
13,1534962211756,1
14,1534962226047,0
15,1534962232799,1
16,1534962236759,1
17,1534962241717,1
18,1534962252052,0
19,1534962256405,0
20,1534962262161,1
1,1538806541373,0
2,1538806545078,0
3,1538806549000,0
4,1538806550246,0
5,1538806554906,1
6,1538806557702,0
7,1538806561974,0
8,1538806565404,1
9,1538806570653,0
10,1538806573017,1
11,1538806586959,0
12,1538806590514,1
13,1538806593996,0
14,1538806598104,0
15,1538806604934,0
16,1538806613456,0
17,1538806622765,0
18,1538806626665,0
19,1538806633069,0
20,1538806637692,1
1,1538845205314,0
2,1538845208416,0
3,1538845214939,1
4,1538845217418,0
5,1538845219950,0
6,1538845222287,0
7,1538845225977,0
8,1538845229389,0
9,1538845234885,1
10,1538845239066,0
11,1538845242270,0
12,1538845248433,0
13,1538845251254,1
14,1538845253456,0
15,1538845261439,0
16,1538845265323,0
17,1538845269579,0
18,1538845276368,0
19,1538845281073,1
20,1538845286759,0
1,1538846112430,0
2,1538846116429,0
3,1538846118333,1
4,1538846128555,0
5,1538846133752,0
6,1538846135418,0
7,1538846137821,0
8,1538846140516,0
9,1538846142233,1
10,1538846145437,0
11,1538846148483,0
12,1538846153902,0
13,1538846159205,0
14,1538846173358,0
15,1538846179321,1
16,1538846186673,1
17,1538846191435,1
18,1538846200032,0
19,1538846203256,0
20,1538846211300,1
1,1538847044810,1
2,1538847050785,0
3,1538847057997,0
4,1538847063559,0
5,1538847067865,0
6,1538847073015,0
7,1538847088017,-1
8,1538847094547,0
9,1538847098293,1
10,1538847105433,0
11,1538847112533,0
12,1538847116251,0
13,1538847119528,0
14,1538847122611,1
15,1538847124694,0
16,1538847133686,0
17,1538847135448,0
18,1538847137374,1
19,1538847141248,1
20,1538847146905,0
1,1539427925631,0
2,1539427930520,0
3,1539427937606,0
4,1539427947506,1
5,1539427948423,0
6,1539427954285,1
7,1539427966404,0
8,1539427974807,1
9,1539427979739,1
10,1539427985442,1
11,1539427993715,1
12,1539428003446,0
13,1539428008504,0
14,1539428010797,1
15,1539428015922,0
16,1539428019883,0
17,1539428024244,0
18,1539428027040,1
19,1539428030393,1
20,1539428036995,1
1,1539428955491,1
2,1539428959074,0
3,1539428964993,1
4,1539428969019,0
5,1539428977072,0
6,1539428981862,0
7,1539428988959,0
8,1539428994818,0
9,1539429000491,1
10,1539429004198,0
11,1539429008989,0
12,1539429018450,0
13,1539429028771,0
14,1539429031322,0
15,1539429034563,1
16,1539429039716,1
17,1539429046597,0
18,1539429050853,0
19,1539429055117,1
20,1539429058876,0
1,1539429887589,1
2,1539429891744,1
3,1539429893761,1
4,1539429896204,0
5,1539429901498,1
6,1539429906712,1
7,1539429915185,1
8,1539429923700,0
9,1539429932598,0
10,1539429936380,0
11,1539429939829,0
12,1539429945435,0
13,1539429950514,0
14,1539429961385,0
15,1539429969408,0
16,1539429973471,0
17,1539429979827,0
18,1539429984491,0
19,1539429988227,0
20,1539429991675,0
1,1539493721211,0
2,1539493725807,0
3,1539493727586,1
4,1539493730892,0
5,1539493732775,1
6,1539493738024,1
7,1539493742751,0
8,1539493747166,1
9,1539493754232,0
10,1539493760308,1
11,1539493766277,0
12,1539493769539,0
13,1539493773082,0
14,1539493775755,0
15,1539493779536,0
16,1539493782305,1
17,1539493787084,1
18,1539493792163,0
19,1539493800194,0
20,1539493806216,0
1,1539494621417,1
2,1539494629302,0
3,1539494633260,1
4,1539494637620,1
5,1539494642844,1
6,1539494650589,1
7,1539494656934,0
8,1539494662675,1
9,1539494665909,1
10,1539494671665,0
11,1539494674388,1
12,1539494680137,0
13,1539494685804,1
14,1539494691449,0
15,1539494693847,1
16,1539494702062,1
17,1539494708490,0
18,1539494712176,1
19,1539494717548,1
20,1539494721272,1
1,1539495465376,0
2,1539495472001,0
3,1539495476395,1
4,1539495482172,1
5,1539495489659,0
6,1539495492515,1
7,1539495500530,1
8,1539495501904,0
9,1539495508441,0
10,1539495511488,1
11,1539495515189,0
12,1539495519540,1
13,1539495529922,1
14,1539495535897,0
15,1539495540844,0
16,1539495555845,-1
17,1539495556123,1
18,1539495558719,0
19,1539495564569,0
20,1539495568158,0
1,1539543120591,0
2,1539543124847,0
3,1539543128813,1
4,1539543130951,1
5,1539543137940,0
6,1539543139692,1
7,1539543146770,1
8,1539543155511,0
9,1539543162287,0
10,1539543165050,1
11,1539543170776,0
12,1539543173765,1
13,1539543184955,0
14,1539543189941,0
15,1539543196231,0
16,1539543205673,0
17,1539543213498,0
18,1539543215973,1
19,1539543218767,1
20,1539543233768,-1
1,1540227502372,1
2,1540227505564,0
3,1540227510202,0
4,1540227511059,0
5,1540227515512,0
6,1540227517935,1
7,1540227522667,0
8,1540227528149,0
9,1540227533465,0
10,1540227539042,0
11,1540227547169,0
12,1540227552528,1
13,1540227560720,1
14,1540227565432,1
15,1540227578502,1
16,1540227586149,0
17,1540227592545,1
18,1540227596533,1
19,1540227606089,0
20,1540227619030,1
1,1540391856634,0
2,1540391865788,0
3,1540391873711,0
4,1540391879037,0
5,1540391883228,0
6,1540391888361,0
7,1540391893306,0
8,1540391901792,1
9,1540391905216,0
10,1540391915448,0
11,1540391919229,0
12,1540391927746,0
13,1540391934860,1
14,1540391939588,0
15,1540391945322,0
16,1540391952011,0
17,1540391959868,0
18,1540391965140,0
19,1540391968793,0
20,1540391972230,0
1,1539925879104,1
2,1539925882756,1
3,1539925890964,1
4,1539925896548,0
5,1539925901318,0
6,1539925908621,1
7,1539925911065,1
8,1539925914027,1
9,1539925922432,1
10,1539925924275,1
11,1539925935359,0
12,1539925936945,1
13,1539925943783,0
14,1539925947505,1
15,1539925951624,0
16,1539925958456,0
17,1539925960630,0
18,1539925971376,0
19,1539925974268,0
20,1539925977841,0

